page_no,review_no,artist,album,genre,author,publish_date,bnm,cover_art,url
5,1,OlÃƒÂ¢Ã‚â‚¬Ã‚â„¢ Dirty Bastard,Return to the 36 Chambers: The Dirty Version,Rap,Sheldon Pearce,March 29 2020,No,https://media.pitchfork.com/photos/5e7cda1725a55d0008c62a1a/1:1/w_160/36%20Chambers_ODB.jpg,/reviews/albums/ol-dirty-bastard-return-to-the-36-chambers-the-dirty-version/
5,2,Rio Da Yung OG,City on My Back,Rap,Alphonse Pierre,March 28 2020,No,https://media.pitchfork.com/photos/5e7a560a25a55d0008c629f9/1:1/w_160/cityontheback.jpg,/reviews/albums/rio-da-yung-og-city-on-my-back/
5,3,J Balvin,Colores,Rap,Jenzia Burgos,March 27 2020,No,https://media.pitchfork.com/photos/5e72665e5138f7000805348a/1:1/w_160/Colores_J%20Balvin.jpg,/reviews/albums/j-balvin-colores/
5,4,Childish Gambino,3.15.20,Rap,Paul A. Thompson,March 26 2020,No,https://media.pitchfork.com/photos/5e79231f2a54c60008d8e38f/1:1/w_160/3.15.20_Childish%20Gambino.jpg,/reviews/albums/childish-gambino-31520/
5,5,Zebra Katz,Less Is Moor,Rap,Eric Torres,March 23 2020,No,https://media.pitchfork.com/photos/5e6fc37c690af00008f80413/1:1/w_160/LESS%20IS%20MOOR_Zebra%20Katz.jpg,/reviews/albums/zebra-katz-less-is-moor/
5,6,Lil Uzi Vert,LUV vs. The World 2,Rap,Mehan Jayasuriya,March 20 2020,No,https://media.pitchfork.com/photos/5e70f09b690af00008f8041b/1:1/w_160/Eternal%20Atake%20(Deluxe)_Lil%20Uzi%20Vert.jpg,/reviews/albums/lil-uzi-vert-luv-vs-the-world-2/
5,7,Don Toliver,Heaven or Hell,Rap,Alphonse Pierre,March 19 2020,No,https://media.pitchfork.com/photos/5e6fa0935d64430008c92fa0/1:1/w_160/Heaven%20or%20Hell_Don%20Toliver.jpg,/reviews/albums/don-toliver-heaven-or-hell/
5,8,Jay Electronica,A Written Testimony,Rap,Sheldon Pearce,March 17 2020,Yes,https://media.pitchfork.com/photos/5e6bba697fdf86000850e298/1:1/w_160/A%20Written%20Testimony_Jay%20Electronica.jpg,/reviews/albums/jay-electronica-a-written-testimony/
5,9,Drakeo the Ruler,Free Drakeo,Rap,Nathan Smith,March 14 2020,No,https://media.pitchfork.com/photos/5e6a5ca5969cde000892957d/1:1/w_160/Free%20Drakeo_Drakeo%20The%20Ruler.jpg,/reviews/albums/drakeo-the-ruler-free-drakeo/
5,10,R.A.P. Ferreira,Purple Moonlight Pages,Rap,Stephen Kearse,March 13 2020,No,https://media.pitchfork.com/photos/5e62a4bc875ad20009c93d1c/1:1/w_160/purple%20moonlight_R.A.P.%20Ferreira.jpg,/reviews/albums/rap-ferreira-purple-moonlight-pages/
5,11,HAWA,the One EP,Rap,Mankaprr Conteh,March 13 2020,No,https://media.pitchfork.com/photos/5e62b3bf875ad20009c93d57/1:1/w_160/the%20One_HAWA.jpg,/reviews/albums/hawa-the-one-ep/
5,12,Riz Ahmed,The Long Goodbye,Rap,Bhanuj Kappal,March 12 2020,No,https://media.pitchfork.com/photos/5e62aca05efdff0008ac725f/1:1/w_160/The%20Long%20Goodbye_Riz%20Ahmed.jpg,/reviews/albums/riz-ahmed-the-long-goodbye/
6,1,Megan Thee Stallion,Suga,Rap,Mankaprr Conteh,March 11 2020,No,https://media.pitchfork.com/photos/5e6293273efe060009390388/1:1/w_160/Suga_Megan%20Thee%20Stallion.jpg,/reviews/albums/megan-thee-stallion-suga/
6,2,Max B,Wave Pack,Pop/R&B,Paul A. Thompson,March 11 2020,No,https://media.pitchfork.com/photos/5e62afd0a967e20009bdb184/1:1/w_160/Wave%20Pack_Max%20B.jpg,/reviews/albums/max-b-wave-pack/
6,3,Lil Uzi Vert,Eternal Atake,Rap,Alphonse Pierre,March 10 2020,Yes,https://media.pitchfork.com/photos/5e6290565efdff0008ac725b/1:1/w_160/Eternal%20Atake_Lil%20Uzi%20Vert.jpg,/reviews/albums/lil-uzi-vert-eternal-atake/
6,4,Young Nudy,Anyways,Rap,Israel Daramola,March 6 2020,No,https://media.pitchfork.com/photos/5e4f085bf98c800008cf6820/1:1/w_160/Anyways_Young%20Nudy.jpg,/reviews/albums/young-nudy-anyways/
6,5,Bad Bunny,YHLQMDLG,Rap,Matthew Ismael Ruiz,March 5 2020,Yes,https://media.pitchfork.com/photos/5e5d895d19382e0008724f89/1:1/w_160/YHLQMDLG_Bad%20Bunny.jpg,/reviews/albums/bad-bunny-yhlqmdlg/
